Clave entidad,"Entidad
federativa",Clave municipio,Municipio,Índice de rezago social
21,Puebla,21093,Lafragua,0.239635
21,Puebla,21094,Libres,-0.385755
21,Puebla,21095,La Magdalena Tlatlauquitepec,-0.755632
21,Puebla,21096,Mazapiltepec de Juárez,-0.121447
21,Puebla,21097,Mixtla,-0.665294
21,Puebla,21098,Molcaxac,0.082325
21,Puebla,21099,Cañada Morelos,0.249678
21,Puebla,21100,Naupan,1.121633
21,Puebla,21101,Nauzontla,0.439627
21,Puebla,21102,Nealtican,-0.371071
21,Puebla,21103,Nicolás Bravo,0.378089
21,Puebla,21104,Nopalucan,-0.150866
21,Puebla,21105,Ocotepec,-0.017201
21,Puebla,21106,Ocoyucan,-0.547773
21,Puebla,21107,Olintla,2.412314
21,Puebla,21108,Oriental,-0.291075
21,Puebla,21109,Pahuatlán,0.618424
21,Puebla,21110,Palmar de Bravo,0.345644
21,Puebla,21111,Pantepec,0.933556
21,Puebla,21112,Petlalcingo,0.116309
21,Puebla,21113,Piaxtla,-0.086591
21,Puebla,21114,Puebla,-1.128401
21,Puebla,21115,Quecholac,0.303411
21,Puebla,21116,Quimixtlán,0.977171
21,Puebla,21117,Rafael Lara Grajales,-0.538656
21,Puebla,21118,Los Reyes de Juárez,-0.052057
21,Puebla,21119,San Andrés Cholula,-1.224644
21,Puebla,21120,San Antonio Cañada,0.918935
21,Puebla,21121,San Diego la Mesa Tochimiltzingo,0.243255
21,Puebla,21122,San Felipe Teotlalcingo,-0.454968
21,Puebla,21123,San Felipe Tepatlán,1.597886
21,Puebla,21124,San Gabriel Chilac,0.024431
21,Puebla,21125,San Gregorio Atzompa,-0.892439
21,Puebla,21126,San Jerónimo Tecuanipan,-0.118572
21,Puebla,21127,San Jerónimo Xayacatlán,0.068495
21,Puebla,21128,San José Chiapa,-0.319252
21,Puebla,21129,San José Miahuatlán,-0.000455
21,Puebla,21130,San Juan Atenco,-0.156697
21,Puebla,21131,San Juan Atzompa,-0.504566
21,Puebla,21132,San Martín Texmelucan,-0.917829
21,Puebla,21133,San Martín Totoltepec,-0.474816
21,Puebla,21134,San Matías Tlalancaleca,-0.675187
21,Puebla,21135,San Miguel Ixitlán,0.078454
21,Puebla,21136,San Miguel Xoxtla,-1.034623
21,Puebla,21137,San Nicolás Buenos Aires,0.148878
21,Puebla,21138,San Nicolás de los Ranchos,-0.057591
21,Puebla,21139,San Pablo Anicano,-0.175635
21,Puebla,21140,San Pedro Cholula,-1.068962
21,Puebla,21141,San Pedro Yeloixtlahuaca,-0.235837
21,Puebla,21142,San Salvador el Seco,0.026462
21,Puebla,21143,San Salvador el Verde,-0.704996
21,Puebla,21144,San Salvador Huixcolotla,0.078763
21,Puebla,21145,San Sebastián Tlacotepec,2.036808
21,Puebla,21146,Santa Catarina Tlaltempan,0.406899
21,Puebla,21147,Santa Inés Ahuatempan,0.616474
21,Puebla,21148,Santa Isabel Cholula,0.239728
21,Puebla,21149,Santiago Miahuatlán,0.19645
21,Puebla,21150,Huehuetlán el Grande,0.201806
21,Puebla,21151,Santo Tomás Hueyotlipan,-0.590095
21,Puebla,21152,Soltepec,-0.12138
21,Puebla,21153,Tecali de Herrera,-0.511465
21,Puebla,21154,Tecamachalco,-0.468017
21,Puebla,21155,Tecomatlán,-0.164292
21,Puebla,21156,Tehuacán,-0.66141
21,Puebla,21157,Tehuitzingo,0.075558
21,Puebla,21158,Tenampulco,0.649538
21,Puebla,21159,Teopantlán,1.075963
21,Puebla,21160,Teotlalco,-0.255906
21,Puebla,21161,Tepanco de López,-0.324036
21,Puebla,21162,Tepango de Rodríguez,1.758268
21,Puebla,21163,Tepatlaxco de Hidalgo,-0.051324
21,Puebla,21164,Tepeaca,-0.427168
21,Puebla,21165,Tepemaxalco,0.791084
21,Puebla,21166,Tepeojuma,-0.315133
21,Puebla,21167,Tepetzintla,1.818625
21,Puebla,21168,Tepexco,0.908833
21,Puebla,21169,Tepexi de Rodríguez,0.097335
21,Puebla,21170,Tepeyahualco,-0.045747
21,Puebla,21171,Tepeyahualco de Cuauhtémoc,-0.55205
21,Puebla,21172,Tetela de Ocampo,0.327481
21,Puebla,21173,Teteles de Avila Castillo,-0.631994
21,Puebla,21174,Teziutlán,-0.762368
21,Puebla,21175,Tianguismanalco,-0.18745
21,Puebla,21176,Tilapa,-0.476135
21,Puebla,21177,Tlacotepec de Benito Juárez,0.245591
21,Puebla,21178,Tlacuilotepec,1.008493
21,Puebla,21179,Tlachichuca,0.088434
21,Puebla,21180,Tlahuapan,-0.431263
21,Puebla,21181,Tlaltenango,-0.604486
21,Puebla,21182,Tlanepantla,-0.075226
21,Puebla,21183,Tlaola,1.412967
21,Puebla,21184,Tlapacoya,1.068517
21,Puebla,21185,Tlapanalá,-0.180108
21,Puebla,21186,Tlatlauquitepec,-0.168891
21,Puebla,21187,Tlaxco,1.109729
21,Puebla,21188,Tochimilco,0.431647
21,Puebla,21189,Tochtepec,-0.277561
21,Puebla,21190,Totoltepec de Guerrero,-0.085727
21,Puebla,21191,Tulcingo,0.043072
21,Puebla,21192,Tuzamapan de Galeana,0.281549
21,Puebla,21193,Tzicatlacoyan,0.323191
21,Puebla,21194,Venustiano Carranza,-0.087794
21,Puebla,21195,Vicente Guerrero,1.875933
21,Puebla,21196,Xayacatlán de Bravo,-0.10925
21,Puebla,21197,Xicotepec,-0.212064
21,Puebla,21198,Xicotlán,0.659773
21,Puebla,21199,Xiutetelco,0.27489
21,Puebla,21200,Xochiapulco,0.884733
21,Puebla,21201,Xochiltepec,-0.328528
21,Puebla,21202,Xochitlán de Vicente Suárez,1.255675
21,Puebla,21203,Xochitlán Todos Santos,0.157128
21,Puebla,21204,Yaonáhuac,-0.030647
21,Puebla,21205,Yehualtepec,-0.139734
21,Puebla,21206,Zacapala,0.299632
21,Puebla,21207,Zacapoaxtla,0.166189
21,Puebla,21208,Zacatlán,-0.287951
21,Puebla,21209,Zapotitlán,0.037017
21,Puebla,21210,Zapotitlán de Méndez,0.455306
21,Puebla,21211,Zaragoza,-0.658542
21,Puebla,21212,Zautla,1.035638
21,Puebla,21213,Zihuateutla,0.780749
21,Puebla,21214,Zinacatepec,-0.067004
21,Puebla,21215,Zongozotla,0.969849
21,Puebla,21216,Zoquiapan,0.992096
21,Puebla,21217,Zoquitlán,2.052345
22,Querétaro,22001,Amealco de Bonfil,0.29796
22,Querétaro,22002,Pinal de Amoles,0.46509
22,Querétaro,22003,Arroyo Seco,-0.325045
22,Querétaro,22004,Cadereyta de Montes,-0.06146
22,Querétaro,22005,Colón,-0.341174
22,Querétaro,22006,Corregidora,-1.378351
22,Querétaro,22007,Ezequiel Montes,-0.585071
22,Querétaro,22008,Huimilpan,-0.629631
22,Querétaro,22009,Jalpan de Serra,-0.386882
22,Querétaro,22010,Landa de Matamoros,0.054617
22,Querétaro,22011,El Marqués,-1.040843
22,Querétaro,22012,Pedro Escobedo,-0.75223
22,Querétaro,22013,Peñamiller,0.142512
22,Querétaro,22014,Querétaro,-1.247061
22,Querétaro,22015,San Joaquín,0.086241
22,Querétaro,22016,San Juan del Río,-1.039977
22,Querétaro,22017,Tequisquiapan,-0.813512
22,Querétaro,22018,Tolimán,0.273243
23,Quintana Roo,23001,Cozumel,-1.133519
23,Quintana Roo,23002,Felipe Carrillo Puerto,-0.014021
23,Quintana Roo,23003,Isla Mujeres,-0.699807
23,Quintana Roo,23004,Othón P. Blanco,-0.97273
23,Quintana Roo,23005,Benito Juárez,-1.138995
23,Quintana Roo,23006,José María Morelos,0.098653
23,Quintana Roo,23007,Lázaro Cárdenas,-0.216774
23,Quintana Roo,23008,Solidaridad,-0.989263
23,Quintana Roo,23009,Tulum,-0.393604
23,Quintana Roo,23010,Bacalar,-0.123589
23,Quintana Roo,23011,Puerto Morelos,-0.879341
24,San Luis Potosí,24001,Ahualulco,-0.089413
24,San Luis Potosí,24002,Alaquines,0.36193
24,San Luis Potosí,24003,Aquismón,1.618465
24,San Luis Potosí,24004,Armadillo de los Infante,0.313847
24,San Luis Potosí,24005,Cárdenas,-0.620718
24,San Luis Potosí,24006,Catorce,0.180371
24,San Luis Potosí,24007,Cedral,-0.795062
24,San Luis Potosí,24008,Cerritos,-0.675084
24,San Luis Potosí,24009,Cerro de San Pedro,-0.740937
24,San Luis Potosí,24010,Ciudad del Maíz,-0.214014
24,San Luis Potosí,24011,Ciudad Fernández,-0.805639
24,San Luis Potosí,24012,Tancanhuitz,0.97408
24,San Luis Potosí,24013,Ciudad Valles,-0.837774
24,San Luis Potosí,24014,Coxcatlán,1.006099
24,San Luis Potosí,24015,Charcas,-0.22591
24,San Luis Potosí,24016,Ebano,-0.517482
24,San Luis Potosí,24017,Guadalcázar,0.755603
24,San Luis Potosí,24018,Huehuetlán,0.822725
24,San Luis Potosí,24019,Lagunillas,0.165546
24,San Luis Potosí,24020,Matehuala,-1.03473
24,San Luis Potosí,24021,Mexquitic de Carmona,-0.408886
24,San Luis Potosí,24022,Moctezuma,-0.21191
24,San Luis Potosí,24023,Rayón,0.062319
24,San Luis Potosí,24024,Rioverde,-0.585328
24,San Luis Potosí,24025,Salinas,-0.532088
24,San Luis Potosí,24026,San Antonio,1.004466
24,San Luis Potosí,24027,San Ciro de Acosta,-0.317675
24,San Luis Potosí,24028,San Luis Potosí,-1.275415
24,San Luis Potosí,24029,San Martín Chalchicuautla,1.057019
24,San Luis Potosí,24030,San Nicolás Tolentino,-0.242221
24,San Luis Potosí,24031,Santa Catarina,2.076941
24,San Luis Potosí,24032,Santa María del Río,0.071424
24,San Luis Potosí,24033,Santo Domingo,-0.160755
24,San Luis Potosí,24034,San Vicente Tancuayalab,0.085047
24,San Luis Potosí,24035,Soledad de Graciano Sánchez,-1.290627
24,San Luis Potosí,24036,Tamasopo,0.29508
24,San Luis Potosí,24037,Tamazunchale,0.305162
24,San Luis Potosí,24038,Tampacán,0.62859
24,San Luis Potosí,24039,Tampamolón Corona,0.815802
24,San Luis Potosí,24040,Tamuín,-0.372804
24,San Luis Potosí,24041,Tanlajás,0.925988
24,San Luis Potosí,24042,Tanquián de Escobedo,-0.394895
24,San Luis Potosí,24043,Tierra Nueva,0.19063
24,San Luis Potosí,24044,Vanegas,-0.077914
24,San Luis Potosí,24045,Venado,-0.187641
24,San Luis Potosí,24046,Villa de Arriaga,0.076604
24,San Luis Potosí,24047,Villa de Guadalupe,0.285333
24,San Luis Potosí,24048,Villa de la Paz,-0.903671
24,San Luis Potosí,24049,Villa de Ramos,-0.164181
24,San Luis Potosí,24050,Villa de Reyes,-0.440778
24,San Luis Potosí,24051,Villa Hidalgo,-0.468378
24,San Luis Potosí,24052,Villa Juárez,0.043745
24,San Luis Potosí,24053,Axtla de Terrazas,-0.020047
24,San Luis Potosí,24054,Xilitla,0.69153
24,San Luis Potosí,24055,Zaragoza,-0.242242
24,San Luis Potosí,24056,Villa de Arista,-0.291586
24,San Luis Potosí,24057,Matlapa,0.559011
24,San Luis Potosí,24058,El Naranjo,-0.708563
25,Sinaloa,25001,Ahome,-1.114611
25,Sinaloa,25002,Angostura,-0.953355
25,Sinaloa,25003,Badiraguato,0.303786
25,Sinaloa,25004,Concordia,-0.553608
25,Sinaloa,25005,Cosalá,-0.326509
25,Sinaloa,25006,Culiacán,-1.20435
25,Sinaloa,25007,Choix,0.132618
25,Sinaloa,25008,Elota,-0.436228
25,Sinaloa,25009,Escuinapa,-0.553226
25,Sinaloa,25010,El Fuerte,-0.390713
25,Sinaloa,25011,Guasave,-0.906215
25,Sinaloa,25012,Mazatlán,-1.167179
25,Sinaloa,25013,Mocorito,-0.516022
25,Sinaloa,25014,Rosario,-0.576219
25,Sinaloa,25015,Salvador Alvarado,-1.229933
25,Sinaloa,25016,San Ignacio,-0.368888
25,Sinaloa,25017,Sinaloa,-0.178331
25,Sinaloa,25018,Navolato,-0.632443
26,Sonora,26001,Aconchi,-1.030027
26,Sonora,26002,Agua Prieta,-1.180179
26,Sonora,26003,Alamos,0.214963
26,Sonora,26004,Altar,-0.996178
26,Sonora,26005,Arivechi,-0.625656
26,Sonora,26006,Arizpe,-0.891484
26,Sonora,26007,Atil,-1.147076
26,Sonora,26008,Bacadéhuachi,-0.90056
26,Sonora,26009,Bacanora,-0.786635
26,Sonora,26010,Bacerac,-0.741459
26,Sonora,26011,Bacoachi,-0.89867
26,Sonora,26012,Bácum,-0.49289
26,Sonora,26013,Banámichi,-1.024593
26,Sonora,26014,Baviácora,-1.023169
26,Sonora,26015,Bavispe,-1.009701
26,Sonora,26016,Benjamín Hill,-0.934732
26,Sonora,26017,Caborca,-0.961866
26,Sonora,26018,Cajeme,-1.167137
26,Sonora,26019,Cananea,-1.369975
26,Sonora,26020,Carbó,-0.602801
26,Sonora,26021,La Colorada,-0.34515
26,Sonora,26022,Cucurpe,-0.261716
26,Sonora,26023,Cumpas,-1.172046
26,Sonora,26024,Divisaderos,-1.142361
26,Sonora,26025,Empalme,-0.958021
26,Sonora,26026,Etchojoa,-0.042467
26,Sonora,26027,Fronteras,-1.173716
26,Sonora,26028,Granados,-1.077243
26,Sonora,26029,Guaymas,-0.83828
26,Sonora,26030,Hermosillo,-1.256742
26,Sonora,26031,Huachinera,-0.7615
26,Sonora,26032,Huásabas,-1.183503
26,Sonora,26033,Huatabampo,-0.39765
26,Sonora,26034,Huépac,-1.21765
26,Sonora,26035,Imuris,-0.967173
26,Sonora,26036,Magdalena,-1.243591
26,Sonora,26037,Mazatán,-0.822293
26,Sonora,26038,Moctezuma,-1.175451
26,Sonora,26039,Naco,-1.151578
26,Sonora,26040,Nácori Chico,-0.26162
26,Sonora,26041,Nacozari de García,-1.169538
26,Sonora,26042,Navojoa,-0.739149
26,Sonora,26043,Nogales,-1.257505
26,Sonora,26044,Onavas,-0.979371
26,Sonora,26045,Opodepe,-0.490773
26,Sonora,26046,Oquitoa,-1.043585
26,Sonora,26047,Pitiquito,-0.651808
26,Sonora,26048,Puerto Peñasco,-1.08763
26,Sonora,26049,Quiriego,0.986143
26,Sonora,26050,Rayón,-0.623587
26,Sonora,26051,Rosario,-0.098296
26,Sonora,26052,Sahuaripa,-0.674899
26,Sonora,26053,San Felipe de Jesús,-1.202842
26,Sonora,26054,San Javier,-0.944233
26,Sonora,26055,San Luis Río Colorado,-1.084876
26,Sonora,26056,San Miguel de Horcasitas,0.385097
26,Sonora,26057,San Pedro de la Cueva,-0.680089
26,Sonora,26058,Santa Ana,-1.165936
26,Sonora,26059,Santa Cruz,-0.922962
26,Sonora,26060,Sáric,-0.77766
26,Sonora,26061,Soyopa,-0.551061
26,Sonora,26062,Suaqui Grande,-0.879704
26,Sonora,26063,Tepache,-1.023359
26,Sonora,26064,Trincheras,-0.673388
26,Sonora,26065,Tubutama,-0.759758
26,Sonora,26066,Ures,-0.949141
26,Sonora,26067,Villa Hidalgo,-0.770281
26,Sonora,26068,Villa Pesqueira,-0.729508
26,Sonora,26069,Yécora,0.261198
26,Sonora,26070,General Plutarco Elías Calles,-0.987226
26,Sonora,26071,Benito Juárez,-0.659633
26,Sonora,26072,San Ignacio Río Muerto,-0.179755
27,Tabasco,27001,Balancán,-0.395558
27,Tabasco,27002,Cárdenas,-0.673675
27,Tabasco,27003,Centla,-0.468657
27,Tabasco,27004,Centro,-1.215095
27,Tabasco,27005,Comalcalco,-0.800784
27,Tabasco,27006,Cunduacán,-0.690995
27,Tabasco,27007,Emiliano Zapata,-0.910675
27,Tabasco,27008,Huimanguillo,-0.459056
27,Tabasco,27009,Jalapa,-0.802967
27,Tabasco,27010,Jalpa de Méndez,-0.903986
27,Tabasco,27011,Jonuta,-0.19926
27,Tabasco,27012,Macuspana,-0.457969
27,Tabasco,27013,Nacajuca,-1.108234
27,Tabasco,27014,Paraíso,-1.06776
27,Tabasco,27015,Tacotalpa,-0.292976
27,Tabasco,27016,Teapa,-0.520337
27,Tabasco,27017,Tenosique,-0.490228
28,Tamaulipas,28001,Abasolo,-0.673119
28,Tamaulipas,28002,Aldama,-0.442692
28,Tamaulipas,28003,Altamira,-1.050093
28,Tamaulipas,28004,Antiguo Morelos,-0.528548
28,Tamaulipas,28005,Burgos,-0.314591
28,Tamaulipas,28006,Bustamante,1.086721
28,Tamaulipas,28007,Camargo,-0.869984
28,Tamaulipas,28008,Casas,0.725696
28,Tamaulipas,28009,Ciudad Madero,-1.303297
28,Tamaulipas,28010,Cruillas,-0.047814
28,Tamaulipas,28011,Gómez Farías,-0.481085
28,Tamaulipas,28012,González,-0.360833
28,Tamaulipas,28013,Güémez,-0.286958
28,Tamaulipas,28014,Guerrero,-0.308135
28,Tamaulipas,28015,Gustavo Díaz Ordaz,-1.041699
28,Tamaulipas,28016,Hidalgo,-0.463133
28,Tamaulipas,28017,Jaumave,-0.188213
28,Tamaulipas,28018,Jiménez,-0.791071
28,Tamaulipas,28019,Llera,-0.309072
28,Tamaulipas,28020,Mainero,-0.414985
28,Tamaulipas,28021,El Mante,-0.968299
28,Tamaulipas,28022,Matamoros,-1.008687
28,Tamaulipas,28023,Méndez,-0.091191
28,Tamaulipas,28024,Mier,-0.998138
28,Tamaulipas,28025,Miguel Alemán,-1.105724
28,Tamaulipas,28026,Miquihuana,0.654053
28,Tamaulipas,28027,Nuevo Laredo,-1.206608
28,Tamaulipas,28028,Nuevo Morelos,-0.697172
28,Tamaulipas,28029,Ocampo,-0.385041
28,Tamaulipas,28030,Padilla,-0.726893
28,Tamaulipas,28031,Palmillas,-0.023033
28,Tamaulipas,28032,Reynosa,-1.165953
28,Tamaulipas,28033,Río Bravo,-0.963249
28,Tamaulipas,28034,San Carlos,0.242632
28,Tamaulipas,28035,San Fernando,-0.377312
28,Tamaulipas,28036,San Nicolás,1.871409
28,Tamaulipas,28037,Soto la Marina,-0.071535
28,Tamaulipas,28038,Tampico,-1.315869
28,Tamaulipas,28039,Tula,0.114784
28,Tamaulipas,28040,Valle Hermoso,-0.949287
28,Tamaulipas,28041,Victoria,-1.25776
28,Tamaulipas,28042,Villagrán,-0.194795
28,Tamaulipas,28043,Xicoténcatl,-0.817117
29,Tlaxcala,29001,Amaxac de Guerrero,-1.020085
29,Tlaxcala,29002,Apetatitlán de Antonio Carvajal,-1.099618
29,Tlaxcala,29003,Atlangatepec,-0.458018
29,Tlaxcala,29004,Atltzayanca,-0.228582
29,Tlaxcala,29005,Apizaco,-1.162919
29,Tlaxcala,29006,Calpulalpan,-0.879147
29,Tlaxcala,29007,El Carmen Tequexquitla,0.026757
29,Tlaxcala,29008,Cuapiaxtla,-0.419892
29,Tlaxcala,29009,Cuaxomulco,-0.708618
29,Tlaxcala,29010,Chiautempan,-0.835722
29,Tlaxcala,29011,Muñoz de Domingo Arenas,-0.893946
29,Tlaxcala,29012,Españita,-0.445976
29,Tlaxcala,29013,Huamantla,-0.496353
29,Tlaxcala,29014,Hueyotlipan,-0.657118
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,-0.84292
29,Tlaxcala,29016,Ixtenco,-0.630277
29,Tlaxcala,29017,Mazatecochco de José María Morelos,-0.183706
29,Tlaxcala,29018,Contla de Juan Cuamatzi,-0.622992
29,Tlaxcala,29019,Tepetitla de Lardizábal,-0.826652
29,Tlaxcala,29020,Sanctórum de Lázaro Cárdenas,-0.731258
29,Tlaxcala,29021,Nanacamilpa de Mariano Arista,-0.776124
29,Tlaxcala,29022,Acuamanala de Miguel Hidalgo,-0.901081
29,Tlaxcala,29023,Natívitas,-0.677329
29,Tlaxcala,29024,Panotla,-0.936495
29,Tlaxcala,29025,San Pablo del Monte,-0.383277
29,Tlaxcala,29026,Santa Cruz Tlaxcala,-0.887356
29,Tlaxcala,29027,Tenancingo,-0.570281
29,Tlaxcala,29028,Teolocholco,-0.667966
29,Tlaxcala,29029,Tepeyanco,-0.904091
29,Tlaxcala,29030,Terrenate,-0.279761
29,Tlaxcala,29031,Tetla de la Solidaridad,-0.839734
29,Tlaxcala,29032,Tetlatlahuca,-0.932933
29,Tlaxcala,29033,Tlaxcala,-1.280656
29,Tlaxcala,29034,Tlaxco,-0.452463
29,Tlaxcala,29035,Tocatlán,-0.750991
29,Tlaxcala,29036,Totolac,-1.147048
29,Tlaxcala,29037,Ziltlaltépec de Trinidad Sánchez Santos,0.065168
29,Tlaxcala,29038,Tzompantepec,-0.818972
29,Tlaxcala,29039,Xaloztoc,-0.808225
29,Tlaxcala,29040,Xaltocan,-0.748285
29,Tlaxcala,29041,Papalotla de Xicohténcatl,-0.781124
29,Tlaxcala,29042,Xicohtzinco,-0.976577
29,Tlaxcala,29043,Yauhquemehcan,-1.118082
29,Tlaxcala,29044,Zacatelco,-0.902429
29,Tlaxcala,29045,Benito Juárez,-0.62745
29,Tlaxcala,29046,Emiliano Zapata,-0.214266
29,Tlaxcala,29047,Lázaro Cárdenas,-0.733188
29,Tlaxcala,29048,La Magdalena Tlaltelulco,1.348312
29,Tlaxcala,29049,San Damián Texóloc,-0.971469
29,Tlaxcala,29050,San Francisco Tetlanohcan,-0.620389
29,Tlaxcala,29051,San Jerónimo Zacualpan,-0.708141
29,Tlaxcala,29052,San José Teacalco,-0.445369
29,Tlaxcala,29053,San Juan Huactzinco,-0.890125
29,Tlaxcala,29054,San Lorenzo Axocomanitla,-0.978092
29,Tlaxcala,29055,San Lucas Tecopilco,-0.792813
29,Tlaxcala,29056,Santa Ana Nopalucan,-0.826751
29,Tlaxcala,29057,Santa Apolonia Teacalco,-0.915106
29,Tlaxcala,29058,Santa Catarina Ayometla,-0.786732
29,Tlaxcala,29059,Santa Cruz Quilehtla,-0.749886
29,Tlaxcala,29060,Santa Isabel Xiloxoxtla,-0.78129
30,Veracruz de Ignacio de la Llave,30001,Acajete,0.264612
30,Veracruz de Ignacio de la Llave,30002,Acatlán,-0.125629
30,Veracruz de Ignacio de la Llave,30003,Acayucan,-0.406473
30,Veracruz de Ignacio de la Llave,30004,Actopan,-0.499064
30,Veracruz de Ignacio de la Llave,30005,Acula,0.12576
30,Veracruz de Ignacio de la Llave,30006,Acultzingo,0.756299
30,Veracruz de Ignacio de la Llave,30007,Camarón de Tejeda,0.116971
30,Veracruz de Ignacio de la Llave,30008,Alpatláhuac,0.947502
30,Veracruz de Ignacio de la Llave,30009,Alto Lucero de Gutiérrez Barrios,-0.350893
30,Veracruz de Ignacio de la Llave,30010,Altotonga,0.41248
30,Veracruz de Ignacio de la Llave,30011,Alvarado,-0.788004
30,Veracruz de Ignacio de la Llave,30012,Amatitlán,-0.073473
30,Veracruz de Ignacio de la Llave,30013,Naranjos Amatlán,-0.763646
30,Veracruz de Ignacio de la Llave,30014,Amatlán de los Reyes,-0.461374
30,Veracruz de Ignacio de la Llave,30015,Angel R. Cabada,-0.091346
30,Veracruz de Ignacio de la Llave,30016,La Antigua,-0.964394
30,Veracruz de Ignacio de la Llave,30017,Apazapan,-0.646345
30,Veracruz de Ignacio de la Llave,30018,Aquila,1.004
30,Veracruz de Ignacio de la Llave,30019,Astacinga,2.232565
30,Veracruz de Ignacio de la Llave,30020,Atlahuilco,2.400073
30,Veracruz de Ignacio de la Llave,30021,Atoyac,-0.258284
30,Veracruz de Ignacio de la Llave,30022,Atzacan,0.508128
30,Veracruz de Ignacio de la Llave,30023,Atzalan,0.383122
30,Veracruz de Ignacio de la Llave,30024,Tlaltetela,0.379312
30,Veracruz de Ignacio de la Llave,30025,Ayahualulco,1.157355
30,Veracruz de Ignacio de la Llave,30026,Banderilla,-0.938104
30,Veracruz de Ignacio de la Llave,30027,Benito Juárez,1.588508
30,Veracruz de Ignacio de la Llave,30028,Boca del Río,-1.253
30,Veracruz de Ignacio de la Llave,30029,Calcahualco,1.412914
30,Veracruz de Ignacio de la Llave,30030,Camerino Z. Mendoza,-0.326265
30,Veracruz de Ignacio de la Llave,30031,Carrillo Puerto,0.541724
30,Veracruz de Ignacio de la Llave,30032,Catemaco,-0.03236
30,Veracruz de Ignacio de la Llave,30033,Cazones de Herrera,0.259668
30,Veracruz de Ignacio de la Llave,30034,Cerro Azul,-0.881375
30,Veracruz de Ignacio de la Llave,30035,Citlaltépetl,0.23809
30,Veracruz de Ignacio de la Llave,30036,Coacoatzintla,-0.085091
30,Veracruz de Ignacio de la Llave,30037,Coahuitlán,1.009407
30,Veracruz de Ignacio de la Llave,30038,Coatepec,-0.797276
30,Veracruz de Ignacio de la Llave,30039,Coatzacoalcos,-1.077944
30,Veracruz de Ignacio de la Llave,30040,Coatzintla,-0.741693
30,Veracruz de Ignacio de la Llave,30041,Coetzala,1.294715
30,Veracruz de Ignacio de la Llave,30042,Colipa,0.35393
30,Veracruz de Ignacio de la Llave,30043,Comapa,0.817829
30,Veracruz de Ignacio de la Llave,30044,Córdoba,-0.874182
30,Veracruz de Ignacio de la Llave,30045,Cosamaloapan de Carpio,-0.531272
30,Veracruz de Ignacio de la Llave,30046,Cosautlán de Carvajal,0.384483
30,Veracruz de Ignacio de la Llave,30047,Coscomatepec,0.785139
30,Veracruz de Ignacio de la Llave,30048,Cosoleacaque,-0.777904
30,Veracruz de Ignacio de la Llave,30049,Cotaxtla,-0.222578
30,Veracruz de Ignacio de la Llave,30050,Coxquihui,1.271154
30,Veracruz de Ignacio de la Llave,30051,Coyutla,0.560961
30,Veracruz de Ignacio de la Llave,30052,Cuichapa,-0.283663
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,-0.562989
30,Veracruz de Ignacio de la Llave,30054,Chacaltianguis,-0.246782
30,Veracruz de Ignacio de la Llave,30055,Chalma,0.700864
30,Veracruz de Ignacio de la Llave,30056,Chiconamel,0.809519
30,Veracruz de Ignacio de la Llave,30057,Chiconquiaco,0.751513
30,Veracruz de Ignacio de la Llave,30058,Chicontepec,0.731693
30,Veracruz de Ignacio de la Llave,30059,Chinameca,-0.141379
30,Veracruz de Ignacio de la Llave,30060,Chinampa de Gorostiza,0.30622
30,Veracruz de Ignacio de la Llave,30061,Las Choapas,0.112537
30,Veracruz de Ignacio de la Llave,30062,Chocamán,0.457143
30,Veracruz de Ignacio de la Llave,30063,Chontla,0.660015
30,Veracruz de Ignacio de la Llave,30064,Chumatlán,1.383311
30,Veracruz de Ignacio de la Llave,30065,Emiliano Zapata,-0.966438
30,Veracruz de Ignacio de la Llave,30066,Espinal,0.401929
30,Veracruz de Ignacio de la Llave,30067,Filomeno Mata,1.498553
30,Veracruz de Ignacio de la Llave,30068,Fortín,-0.884115
30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,-0.391769
30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,0.270096
30,Veracruz de Ignacio de la Llave,30071,Huatusco,-0.178982
30,Veracruz de Ignacio de la Llave,30072,Huayacocotla,0.569443
30,Veracruz de Ignacio de la Llave,30073,Hueyapan de Ocampo,0.322686
30,Veracruz de Ignacio de la Llave,30074,Huiloapan de Cuauhtémoc,-0.665729
30,Veracruz de Ignacio de la Llave,30075,Ignacio de la Llave,0.095251
30,Veracruz de Ignacio de la Llave,30076,Ilamatlán,2.36904
30,Veracruz de Ignacio de la Llave,30077,Isla,-0.286066
30,Veracruz de Ignacio de la Llave,30078,Ixcatepec,1.006832
30,Veracruz de Ignacio de la Llave,30079,Ixhuacán de los Reyes,0.679309
30,Veracruz de Ignacio de la Llave,30080,Ixhuatlán del Café,0.343248
30,Veracruz de Ignacio de la Llave,30081,Ixhuatlancillo,-0.178356
30,Veracruz de Ignacio de la Llave,30082,Ixhuatlán del Sureste,-0.360206
30,Veracruz de Ignacio de la Llave,30083,Ixhuatlán de Madero,1.33468
30,Veracruz de Ignacio de la Llave,30084,Ixmatlahuacan,-0.032303
30,Veracruz de Ignacio de la Llave,30085,Ixtaczoquitlán,-0.587976
30,Veracruz de Ignacio de la Llave,30086,Jalacingo,0.426694
